wosid,title,issn,eissn
C8084J,Diving and Hyperbaric Medicine,1833-3516,1833-3516
13391J,DOKLADY PHYSICS,1028-3358,1562-6903
C1111J,ECOLOGICAL INDICATORS,1470-160X,1872-7034
34056J,ECONOMIC BOTANY,0013-0001,1874-9364
09773J,ENVIRONMETRICS,1180-4009,1099-095X
12473J,EUROPEAN JOURNAL OF OPHTHALMOLOGY,1120-6721,1724-6016
07635J,FLUID DYNAMICS RESEARCH,0169-5983,1873-7005
D0294J,Food Security,1876-4517,1876-4525
10629J,FREE RADICAL RESEARCH,1071-5762,1029-2470
00424S,Frontiers of Hormone Research,0301-3073,
C9677J,Functional Materials Letters,1793-6047,1793-7213
13935J,GEOCHEMICAL TRANSACTIONS,1467-4866,1467-4866
C7983J,Gradevinar,0350-2465,1333-9095
41932J,IBIS,0019-1019,1474-919X
14199J,IEEE TRANSACTIONS ON DEVICE AND MATERIALS RELIABILITY,1530-4388,1558-2574
11194J,INFLAMMATION RESEARCH,1023-3830,1420-908X
C8514J,Informatics for Health & Social Care,1753-8157,1753-8165
10740J,INTERNATIONAL JOURNAL OF ANTIMICROBIAL AGENTS,0924-8579,1872-7913
47113J,INTERNATIONAL JOURNAL OF PSYCHIATRY IN MEDICINE,0091-2174,1541-3527
D1097J,International Journal of Shoulder Surgery,0973-6042,0973-6042
49060J,JOURNAL OF AGRICULTURAL SCIENCE,0021-8596,1469-5146
D2659J,Journal of Biomedical Semantics,2041-1480,2041-1480
C8526J,Journal of Computational and Nonlinear Dynamics,1555-1423,1555-1415
13696J,JOURNAL OF DERMATOLOGY,0385-2407,1346-8138
02045J,JOURNAL OF DISPERSION SCIENCE AND TECHNOLOGY,0193-2691,1532-2351
13857J,JOURNAL OF FELINE MEDICINE AND SURGERY,1098-612X,1532-2750
54692J,JOURNAL OF GENERAL AND APPLIED MICROBIOLOGY,0022-1260,1349-8037
55210J,JOURNAL OF HEALTH POLITICS POLICY AND LAW,0361-6878,
11483J,JOURNAL OF INTELLIGENT & FUZZY SYSTEMS,1064-1246,1875-8967
09335J,JOURNAL OF MATERIALS SCIENCE-MATERIALS IN ELECTRONICS,0957-4522,1573-482X
58036J,JOURNAL OF NATURAL HISTORY,0022-2933,1464-5262
06571J,JOURNAL OF PHARMACEUTICAL AND BIOMEDICAL ANALYSIS,0731-7085,1873-264X
60577J,JOURNAL OF QUALITY TECHNOLOGY,0022-4065,0022-4065
01519J,JOURNAL OF RHEOLOGY,0148-6055,
06299J,JOURNAL OF THE AMERICAN PODIATRIC MEDICAL ASSOCIATION,8750-7315,1930-8264
50908J,JOURNAL OF THE AUDIO ENGINEERING SOCIETY,1549-4950,1549-4950
03870J,JOURNAL OF THE METEOROLOGICAL SOCIETY OF JAPAN,0026-1165,2186-9057
03232J,JOURNAL OF VIROLOGICAL METHODS,0166-0934,1879-0984
12023J,JOURNAL OF WOMENS HEALTH,1540-9996,1931-843X
10761J,LASER PHYSICS,1054-660X,1555-6611
65582J,MAGYAR ALLATORVOSOK LAPJA,0025-004X,
C6821J,Maternal and Child Nutrition,1740-8695,1740-8709
09615J,MICROSCOPY RESEARCH AND TECHNIQUE,1059-910X,1097-0029
06098J,MIS QUARTERLY,0276-7783,
69498J,MOLECULAR CRYSTALS AND LIQUID CRYSTALS,1542-1406,1563-5287
11339J,MOLECULAR MEDICINE,1076-1551,1528-3658
07363J,MOLECULAR MICROBIOLOGY,0950-382X,1365-2958
07396J,MOLECULAR NEUROBIOLOGY,0893-7648,1559-1182
69887J,MONATSSCHRIFT KINDERHEILKUNDE,0026-9298,1433-0474
D1565J,MRS Communications,2159-6859,2159-6867
C8677J,Mucosal Immunology,1933-0219,1935-3456
C6567J,Nurse Educator,0363-3624,1538-9855
C2855J,NUTRITION IN CLINICAL PRACTICE,0884-5336,1941-2452
13977J,ORGANIC ELECTRONICS,1566-1199,1878-5530
07537J,PARASITOLOGY RESEARCH,0932-0113,1432-1955
C7763J,Petroleum Science,1672-5107,1995-8226
C6419J,Petrophysics,1529-9074,
76376J,PHYSICAL REVIEW C,0556-2813,1089-490X
76780J,PHYSIOLOGICAL REVIEWS,0031-9333,1522-1210
C6231J,PLoS Genetics,1553-7404,1553-7404
12337J,PRAKTISCHE METALLOGRAPHIE-PRACTICAL METALLOGRAPHY,0032-678X,0032-678X
78848J,PROCEEDINGS OF THE EDINBURGH MATHEMATICAL SOCIETY,0013-0915,1464-3839
81642J,PSYCHOPHARMACOLOGY,0033-3158,1432-2072
C8785J,Radiophysics and Quantum Electronics,0033-8443,1573-9120
10495J,RAFFLES BULLETIN OF ZOOLOGY,0217-2445,
84453J,REVISTA DE CHIMIE,0034-7752,0034-7752
C6032J,Revista Mexicana de Biodiversidad,1870-3453,
D0267J,Scandinavian Journal of Trauma Resuscitation & Emergency Medicine,1757-7241,
07076J,SEMICONDUCTOR SCIENCE AND TECHNOLOGY,0268-1242,1361-6641
10166J,SEMINARS IN CANCER BIOLOGY,1044-579X,
13541J,SEMINARS IN REPRODUCTIVE MEDICINE,1526-8004,1526-4564
05922J,STATISTICS & PROBABILITY LETTERS,0167-7152,1879-2103
03116J,THEORETICAL COMPUTER SCIENCE,0304-3975,1879-2294
10914J,VETERINARSKI ARHIV,0372-5480,1331-8055
C2626J,VIROLOGICA SINICA,1674-0769,1995-820X
C7079J,Water Policy,1366-7017,1366-7017
